Timestamp,Distance (cm)
2024-08-15 00:07:21,5.1
2024-08-15 00:07:22,5.1
2024-08-15 00:07:23,5.1
2024-08-15 00:07:24,5.1
2024-08-15 00:07:25,5.1
2024-08-15 00:07:26,5.1
2024-08-15 00:07:27,5.1
2024-08-15 00:07:28,5.1
2024-08-15 00:07:29,5.1
2024-08-15 00:07:30,5.1
2024-08-15 00:07:31,5.1
2024-08-15 00:07:32,5.1
2024-08-15 00:07:33,5.1
2024-08-15 00:07:34,5.1
2024-08-15 00:07:35,5.1
2024-08-15 00:07:36,5.1
2024-08-15 00:07:37,5.1
2024-08-15 00:07:38,5.1
2024-08-15 00:07:39,5.1
2024-08-15 00:07:40,5.1
2024-08-15 00:07:41,5.1
2024-08-15 00:07:42,5.1
2024-08-15 00:07:43,5.1
2024-08-15 00:07:44,5.1
2024-08-15 00:07:45,5.1
2024-08-15 00:07:46,5.1
2024-08-15 00:07:47,5.1
2024-08-15 00:07:48,5.1
2024-08-15 00:07:49,5.1
2024-08-15 00:07:50,5.1
2024-08-15 00:07:51,5.1
2024-08-15 00:07:52,5.1
2024-08-15 00:07:53,5.1
2024-08-15 00:07:54,5.1
2024-08-15 00:07:55,5.1
2024-08-15 00:07:56,5.1
2024-08-15 00:07:57,5.1
2024-08-15 00:07:58,5.1
2024-08-15 00:07:59,5.1
2024-08-15 00:08:00,5.1
2024-08-15 00:08:01,5.1
2024-08-15 00:08:02,5.1
2024-08-15 00:08:03,5.1
2024-08-15 00:08:04,5.1
2024-08-15 00:08:05,5.1
2024-08-15 00:08:06,5.1
2024-08-15 00:08:07,5.1
2024-08-15 00:08:08,5.1
2024-08-15 00:08:09,5.1
2024-08-15 00:08:10,5.1
2024-08-15 00:08:11,5.1
2024-08-15 00:08:12,5.1
2024-08-15 00:08:13,5.1
2024-08-15 00:08:14,5.1
2024-08-15 00:08:15,5.1
2024-08-15 00:08:16,5.1
2024-08-15 00:08:17,5.1
2024-08-15 00:08:18,5.1
2024-08-15 00:08:19,5.1
2024-08-15 00:08:20,5.1
2024-08-15 00:08:21,5.1
2024-08-15 00:08:22,5.1
2024-08-15 00:08:23,5.1
2024-08-15 00:08:24,5.1
2024-08-15 00:08:25,5.1
2024-08-15 00:08:26,5.1
2024-08-15 00:08:27,5.1
2024-08-15 00:08:28,5.1
2024-08-15 00:08:29,5.1
2024-08-15 00:08:30,5.1
2024-08-15 00:08:31,5.1
2024-08-15 00:08:32,5.1
2024-08-15 00:08:33,5.1
2024-08-15 00:08:34,5.1
2024-08-15 00:08:35,5.1
2024-08-15 00:08:36,5.1
2024-08-15 00:08:37,5.1
2024-08-15 00:08:38,5.1
2024-08-15 00:08:39,5.1
2024-08-15 00:08:40,5.1
2024-08-15 00:08:41,5.1
2024-08-15 00:08:42,5.1
2024-08-15 00:08:43,5.1
2024-08-15 00:08:44,5.1
2024-08-15 00:08:45,5.1
2024-08-15 00:08:46,5.1
2024-08-15 00:08:47,5.1
2024-08-15 00:08:48,5.1
2024-08-15 00:08:49,5.1
2024-08-15 00:08:50,5.1
2024-08-15 00:08:51,5.1
2024-08-15 00:08:52,5.1
2024-08-15 00:08:53,5.1
2024-08-15 00:08:54,5.1
2024-08-15 00:08:55,5.1
2024-08-15 00:08:56,5.1
2024-08-15 00:08:57,5.1
2024-08-15 00:08:58,5.1
2024-08-15 00:08:59,5.1
2024-08-15 00:09:00,5.1
2024-08-15 00:09:01,5.1
2024-08-15 00:09:02,5.1
2024-08-15 00:09:03,5.1
2024-08-15 00:09:04,5.1
2024-08-15 00:09:05,5.1
2024-08-15 00:09:06,5.1
2024-08-15 00:09:07,5.1
2024-08-15 00:09:08,5.1
2024-08-15 00:09:09,5.1
2024-08-15 00:09:10,5.1
2024-08-15 00:09:11,5.1
2024-08-15 00:09:12,5.1
2024-08-15 00:09:13,5.1
2024-08-15 00:09:14,5.1
2024-08-15 00:09:15,5.1
2024-08-15 00:09:16,5.1
2024-08-15 00:09:17,5.1
2024-08-15 00:09:18,5.1
2024-08-15 00:09:19,5.1
2024-08-15 00:09:20,5.1
2024-08-15 00:09:21,5.1
2024-08-15 00:09:22,5.1
2024-08-15 00:09:23,5.1
2024-08-15 00:09:24,5.1
2024-08-15 00:09:25,5.1
2024-08-15 00:09:26,5.1
2024-08-15 00:09:27,5.1
2024-08-15 00:09:28,5.1
2024-08-15 00:09:29,5.1
2024-08-15 00:09:30,5.1
2024-08-15 00:09:31,5.1
2024-08-15 00:09:32,5.1
2024-08-15 00:09:33,5.1
2024-08-15 00:09:34,5.1
2024-08-15 00:09:35,5.1
2024-08-15 00:09:36,5.1
2024-08-15 00:09:37,5.1
2024-08-15 00:09:38,5.1
2024-08-15 00:09:39,5.1
2024-08-15 00:09:40,5.1
2024-08-15 00:09:41,5.1
2024-08-15 00:09:42,5.1
2024-08-15 00:09:43,5.1
2024-08-15 00:09:44,5.1
2024-08-15 00:09:45,5.1
2024-08-15 00:09:46,5.1
2024-08-15 00:09:47,5.1
2024-08-15 00:09:48,5.1
2024-08-15 00:09:49,5.1
2024-08-15 00:09:50,5.1
2024-08-15 00:09:51,5.1
2024-08-15 00:09:52,5.1
2024-08-15 00:09:53,5.1
2024-08-15 00:09:54,5.1
2024-08-15 00:09:55,5.1
2024-08-15 00:09:56,5.1
2024-08-15 00:09:57,5.1
2024-08-15 00:09:58,5.1
2024-08-15 00:09:59,5.1
